"","SVL","HL","HLL","FLL","LAM","TL","Simul3","Simul2","Simul4"
"ahli",4.03913,2.88266,3.96202,3.34498,2.8662,4.504,"c","a","b"
"allogus",4.04014,2.86103,3.94018,3.33829,2.80827,4.52189,"b","a","b"
"rubribarbus",4.07847,2.89425,3.96135,3.35641,2.86751,4.56108,"b","a","a"
"imias",4.09969,2.85293,3.98565,3.41402,2.94375,4.65242,"b","b","b"
"sagrei",4.06716,2.83515,3.85786,3.24267,2.91872,4.77603,"b","a","d"
"bremeri",4.11337,2.86044,3.90039,3.30585,2.97009,4.72996,"b","a","d"
"quadriocellifer",3.90162,2.69606,3.70555,3.15652,2.84395,4.41491,"a","a","c"
"ophiolepis",3.63796,2.43599,3.33231,2.72045,2.61274,4.49759,"a","a","d"
"mestrei",3.98715,2.78904,3.84586,3.25122,2.89939,4.51303,"a","a","d"
"jubar",3.9526,2.76726,3.7563,3.21232,2.91083,4.41338,"a","a","b"
"homolechis",4.03281,2.83492,3.84678,3.29391,2.93592,4.52981,"a","a","c"
"confusus",3.93844,2.75838,3.7697,3.18221,2.85608,4.42371,"b","a","b"
"guafe",3.87746,2.67639,3.70675,3.15604,2.88914,4.35295,"a","a","d"
"garmani",4.76947,3.60137,4.5139,3.97805,3.30958,5.52986,"c","a","b"
"opalinus",3.83838,2.67525,3.61507,3.07685,3.03601,4.41582,"a","b","d"
"grahami",4.15427,3.04139,3.92669,3.38041,3.28017,4.81155,"b","b","c"
"valencienni",4.32152,3.19328,3.83121,3.38065,3.20445,4.61083,"c","b","d"
"lineatopus",4.12861,3.08489,4.00563,3.40064,2.86179,4.83357,"b","a","d"
"evermanni",4.16561,3.00815,3.95661,3.43032,3.3131,4.76766,"a","b","c"
"stratulus",3.86988,2.71712,3.57823,3.09671,3.09993,4.36548,"a","b","d"
"krugi",3.8865,2.75824,3.7428,3.0505,2.92595,4.89789,"b","a","d"
"pulchellus",3.79902,2.72121,3.55535,2.90369,2.85477,4.7654,"c","a","a"
"gundlachi",4.1881,3.05589,4.1068,3.48066,2.79925,4.8804,"b","b","c"
"poncensis",3.82038,2.63844,3.54908,2.90001,2.63391,4.78582,"b","a","d"
"cooki",4.09154,2.93022,3.92244,3.30786,3.01479,4.89025,"b","b","d"
"cristatellus",4.18982,3.0245,4.01065,3.45393,3.08046,4.76218,"c","b","d"
"brevirostris",3.87415,2.6392,3.66806,3.19585,3.03143,4.34161,"b","b","d"
"caudalis",3.91174,2.69233,3.64868,3.19965,2.94333,4.3626,"b","b","b"
"marron",3.83181,2.66263,3.6253,3.15137,2.92108,4.28998,"b","b","c"
"websteri",3.91655,2.69056,3.6517,3.1969,2.97354,4.31559,"b","a","d"
"distichus",3.9288,2.71507,3.74769,3.28819,3.03557,4.33953,"a","a","c"
"alumina",3.58894,2.41783,3.44101,2.63466,2.69425,4.66676,"a","b","d"
"semilineatus",3.69663,2.56225,3.56689,2.71825,2.70627,4.81083,"a","b","d"
"olssoni",3.7939,2.53732,3.62697,2.82685,2.68045,4.93759,"a","a","d"
"insolitus",3.80047,2.66088,3.30379,2.7591,2.75087,3.93131,"b","b","c"
"whitemani",4.09748,3.04389,3.97375,3.36546,2.78226,4.83677,"c","b","b"
"haetianus",4.31654,3.2959,4.22252,3.61242,2.9319,5.0396,"b","b","d"
"breslini",4.05111,3.00184,3.94958,3.3355,2.74677,4.8287,"c","b","d"
"armouri",4.12168,3.06894,3.98845,3.37523,2.86689,4.71407,"c","b","d"
"cybotes",4.21098,3.16044,4.08094,3.50367,2.91083,4.85735,"c","a","a"
"shrevei",3.983,2.91355,3.816,3.20757,2.76989,4.65644,"b","b","d"
"longitibialis",4.2421,3.13074,4.16673,3.59074,2.85046,4.97288,"c","b","a"
"strahmi",4.27427,3.14616,4.21885,3.64446,2.99069,4.94861,"b","b","d"
"marcanoi",4.07948,2.98856,3.93748,3.33499,2.93827,4.81486,"a","b","d"
"baleatus",5.05306,3.87847,4.73633,4.24528,3.44588,5.70632,"a","b","c"
"barahonae",5.07696,3.88092,4.76629,4.25025,3.4395,5.69561,"a","b","c"
"ricordii",5.01396,3.8436,4.72415,4.20138,3.41388,5.65557,"a","b","d"
"cuvieri",4.87501,3.78908,4.69174,4.13141,3.39324,5.65807,"b","b","d"
"altitudinalis",3.84299,2.85273,3.25665,2.88466,3.19846,4.16762,"b","b","b"
"oporinus",3.84567,2.71668,3.26919,2.87864,3.04452,4.14313,"a","b","a"
"isolepis",3.65709,2.60933,3.1066,2.67816,3.00959,3.84291,"a","a","c"
"allisoni",4.37539,3.35896,3.96069,3.4462,3.23921,5.05911,"a","b","a"
"porcatus",4.25899,3.23143,3.83813,3.29191,3.35154,4.94983,"c","b","d"
"loysiana",3.70124,2.55961,3.29042,2.86581,2.90001,4.0728,"b","b","d"
"guazuma",3.76388,2.65309,3.05933,2.58081,2.93307,3.72491,"c","b","c"
"placidus",3.77397,2.62394,3.03639,2.66671,2.79536,3.84734,"a","b","c"
"sheplani",3.68292,2.49486,2.85877,2.45531,2.71918,3.74943,"a","b","d"
"alayoni",3.8157,2.70212,3.2795,2.80245,3.07527,4.07265,"a","b","d"
"angusticeps",3.7886,2.69018,3.23424,2.74548,2.86502,4.17223,"a","b","d"
"paternus",3.80296,2.68938,3.35633,2.8245,2.99523,4.38717,"a","b","a"
"alutaceus",3.55489,2.43405,3.3511,2.56994,2.78245,4.55473,"a","a","b"
"inexpectatus",3.53744,2.42414,3.32925,2.46873,2.74432,4.60069,"a","a","b"
"clivicola",3.75873,2.62919,3.59003,2.91615,2.85538,4.60138,"a","a","d"
"cupeyalensis",3.46201,2.31221,3.17127,2.43147,2.56376,4.52332,"c","b","d"
"cyanopleurus",3.63016,2.46678,3.48687,2.67912,2.72007,4.74826,"b","b","d"
"alfaroi",3.52665,2.37816,3.30542,2.48366,2.73387,4.41601,"b","b","c"
"macilentus",3.71576,2.50716,3.50014,2.69124,2.70694,4.67887,"a","b","d"
"vanidicus",3.62621,2.49031,3.31618,2.5331,2.57858,4.54037,"a","a","c"
"baracoae",5.04278,3.92857,4.72552,4.19824,3.69051,5.78458,"c","b","d"
"noblei",5.08347,3.98972,4.77654,4.26465,3.74571,5.81288,"b","b","a"
"smallwoodi",5.0351,3.95492,4.75021,4.19821,3.73134,5.74107,"b","b","d"
"luteogularis",5.10109,3.95631,4.76912,4.27415,3.69997,5.73405,"b","b","d"
"equestris",5.11399,3.97656,4.75764,4.26757,3.72262,5.75012,"b","b","d"
"bahorucoensis",3.82745,2.7754,3.69687,2.91831,2.80896,4.76335,"a","a","c"
"dolichocephalus",3.90855,2.88824,3.71678,2.89803,2.94351,4.87903,"a","b","d"
"hendersoni",3.85983,2.81146,3.69235,2.89748,2.90119,4.86071,"a","b","c"
"darlingtoni",4.30204,3.21286,3.80977,3.33861,3.13549,4.49981,"a","b","d"
"aliniger",4.03656,2.89884,3.64623,3.15908,3.15677,4.54173,"b","b","d"
"singularis",4.058,2.91768,3.68946,3.17729,3.14975,4.59542,"b","b","a"
"chlorocyanus",4.27545,3.07128,3.92347,3.37616,3.32593,4.97128,"b","a","d"
"coelestinus",4.29797,3.12764,3.96332,3.41641,3.20854,5.04332,"b","b","b"
"occultus",3.66305,2.52932,2.94088,2.49856,2.75722,3.6491,"a","b","d"
